Adam Smith,30,672883200,1991/04/29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,227,228,85,10
Andrew Surman,35,524880000,1986/08/20,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,526,912,England,18,7,11,0,0,0,0,0,0,0,0,5,3,2,35,7,28,2,0,0,0,0,0,0,0,2.19,41,80,719,0,0.13,359,379,-1,27
Artur Boruc,41,319852800,1980/02/20,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,540,540,Poland,12,6,6,0,0,0,0,0,0,0,0,4,2,2,17,4,13,2,0,0,0,0,0,0,0,1.42,64,90,540,0,0.17,361,394,100,20
Asmir Begović,34,551145600,1987/06/20,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,1080,1080,Bosnia and Herzegovina,24,12,12,0,0,0,0,0,0,0,0,5,3,2,44,19,25,0,0,0,0,0,0,0,0,1.83,49,90,0,0,0,358,273,154,19
Callum Wilson,29,699148800,1992/02/27,Premier League,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,15,14,5,9,9,4,5,1,1,9,5,4,44,17,27,3,0,0.82,0.32,0.5,0.34,0.67,181,1.56,58,85,845,282,0.11,17,16,-1,1
Charlie Daniels,35,526435200,1986/09/07,Premier League,2018/2019,Defender,AFC Bournemouth,1583,803,780,England,21,11,10,1,1,0,0,0,0,0,0,6,4,2,32,14,18,4,0,0.06,0,0.06,0.11,0,1583,1.82,49,75,396,0,0.23,208,254,152,12
Chris Mepham,24,878688000,1997/11/05,Premier League,2018/2019,Defender,AFC Bournemouth,849,436,413,Wales,13,6,7,0,0,0,1,0,1,0,0,3,1,2,16,7,9,1,0,0.11,0.11,0,0,0,0,1.7,53,65,849,849,0.11,279,133,142,17
Dan Gosling,31,633830400,1990/02/01,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,England,25,13,12,2,0,2,1,0,1,0,0,7,4,3,31,14,17,8,0,0.16,0.05,0.1,0,0.22,869,1.61,56,69,217,1737,0.41,158,206,-1,8
David Brooks,24,868320000,1997/07/08,Premier League,2018/2019,Forward,AFC Bournemouth,2278,1289,989,England,30,17,13,7,4,3,5,3,2,0,0,9,5,4,39,17,22,3,0,0.47,0.2,0.28,0.28,0.27,325,1.54,58,76,759,456,0.12,68,66,-1,4
Diego Rico,28,730425600,1993/02/23,Premier League,2018/2019,Defender,AFC Bournemouth,607,148,459,Spain,12,4,8,0,0,0,0,0,0,0,0,0,0,0,18,3,15,1,0,0,0,0,0,0,0,2.67,34,51,607,0,0.15,306,261,172,21
