Ademola Lookman,24,877305600,1997/10/20,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,11,10,0,0,0,2,2,0,0,0,8,5,3,7,2,5,0,0,0.3,0.3,0,0,0,0,1.05,86,29,0,301,0,292,20,-1,17
André Filipe Tavares Gomes,28,743990400,1993/07/30,Premier League,2018/2019,Midfielder,Everton,1986,972,1014,Portugal,27,13,14,1,1,0,1,1,0,0,0,10,6,4,27,13,14,7,0,0.09,0.05,0.05,0.09,0,1986,1.22,74,74,284,1986,0.32,220,213,-1,11
Bernard Anício Caldeira Duarte,29,715910400,1992/09/08,Premier League,2018/2019,Midfielder,Everton,2128,960,1168,Brazil,34,16,18,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,243,117,-1,12
Cenk Tosun,30,676252800,1991/06/07,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,13,12,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,74,37,-1,6
Dominic Calvert-Lewin,24,858470400,1997/03/16,Premier League,2018/2019,Forward,Everton,1774,1023,751,England,35,18,17,6,3,3,2,2,0,0,0,13,8,5,24,12,12,3,0,0.41,0.1,0.3,0.26,0.36,296,1.22,74,51,591,887,0.15,65,145,-1,3
Gylfi Sigurdsson,32,621216000,1989/09/08,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,19,19,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,43,86,-1,2
Idrissa Gana Gueye,32,622771200,1989/09/26,Premier League,2018/2019,Midfielder,Everton,2825,1407,1418,Senegal,33,16,17,0,0,0,2,1,1,0,0,13,9,4,29,10,19,6,0,0.06,0.06,0,0,0,0,0.92,97,86,471,1413,0.19,413,193,-1,19
James McCarthy,31,658368000,1990/11/12,Premier League,2018/2019,Midfielder,Everton,14,14,0,Republic of Ireland,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,22
Jonjoe Kenny,24,858384000,1997/03/15,Premier League,2018/2019,Defender,Everton,790,413,377,England,10,5,5,0,0,0,1,1,0,0,0,2,1,1,14,7,7,1,0,0.11,0.11,0,0,0,0,1.59,56,79,790,790,0.11,289,143,129,15
Jordan Pickford,27,762998400,1994/03/07,Premier League,2018/2019,Goalkeeper,Everton,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,14,9,5,44,20,24,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,409,260,57,14
Kieran Dowell,24,876441600,1997/10/10,Premier League,2018/2019,Midfielder,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kurt Zouma,27,783216000,1994/10/27,Premier League,2018/2019,Defender,Everton,2610,1350,1260,France,32,16,16,2,1,1,2,0,2,0,0,11,8,3,37,17,20,5,1,0.14,0.07,0.07,0.07,0.07,1305,1.28,71,82,522,1305,0.17,192,185,83,7
Leighton Baines,37,471571200,1984/12/11,Premier League,2018/2019,Defender,Everton,376,141,235,England,6,3,3,0,0,0,0,0,0,0,0,1,0,1,6,2,4,0,0,0,0,0,0,0,0,1.44,63,63,0,0,0,410,287,109,21
Lucas Digne,28,743126400,1993/07/20,Premier League,2018/2019,Defender,Everton,2990,1511,1479,France,35,17,18,4,2,2,4,2,2,0,0,14,9,5,36,16,20,6,1,0.24,0.12,0.12,0.12,0.12,748,1.08,83,85,427,748,0.21,147,125,42,5
Maarten Stekelenburg,39,401500800,1982/09/22,Premier League,2018/2019,Goalkeeper,Everton,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mason Holgate,25,845942400,1996/10/22,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,2,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,390,160,16
Michael Keane,29,726710400,1993/01/11,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1,0,0,13,8,5,37,15,22,2,0,0.09,0.06,0.03,0,0.06,2970,1.12,80,90,1485,1485,0.06,251,196,49,10
Morgan Schneiderlin,32,626486400,1989/11/08,Premier League,2018/2019,Midfielder,Everton,833,473,360,France,14,9,5,0,0,0,1,1,0,0,0,7,5,2,9,5,4,2,0,0.11,0.11,0,0,0,0,0.97,93,60,417,833,0.22,412,138,-1,20
Phil Jagielka,39,398390400,1982/08/17,Premier League,2018/2019,Defender,Everton,329,95,234,England,7,3,4,1,1,0,0,0,0,0,0,5,3,2,2,0,2,1,1,0.27,0,0.27,0.95,0,329,0.55,165,47,165,0,0.55,71,272,9,13
Richarlison de Andrade,24,863222400,1997/05/10,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,17,18,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,250,-1,1
Sandro Ramirez,26,805248000,1995/07/09,Premier League,2018/2019,Forward,Everton,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Séamus Coleman,33,592531200,1988/10/11,Premier League,2018/2019,Defender,Everton,2560,1333,1227,Republic of Ireland,29,15,14,2,2,0,2,0,2,0,0,13,8,5,29,15,14,1,0,0.14,0.07,0.07,0.14,0,1280,1.02,88,88,2560,1280,0.04,197,178,34,8
Theo Walcott,32,606009600,1989/03/16,Premier League,2018/2019,Forward,Everton,2122,1114,1008,England,37,19,18,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,90,170,-1,4
Tom Davies,23,899164800,1998/06/30,Premier League,2018/2019,Midfielder,Everton,975,520,455,England,16,8,8,0,0,0,0,0,0,0,0,5,3,2,18,12,6,3,0,0,0,0,0,0,0,1.66,54,61,325,0,0.28,416,380,-1,18
Tyias Browning,27,769996800,1994/05/27,Premier League,2018/2019,Defender,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Yerry Fernando Mina González,27,780278400,1994/09/23,Premier League,2018/2019,Defender,Everton,890,360,530,Colombia,13,6,7,1,0,1,0,0,0,0,0,4,3,1,12,3,9,3,0,0.1,0,0.1,0,0.17,890,1.21,74,68,297,0,0.3,161,329,67,9
