Aaron Mooy,31,653356800,1990/09/15,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,144,233,-1,3
Aaron Rowe,21,968284800,2000/09/07,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.3,69,35,0,0,0,-1,-1,-1,31
Abdelhamid Sabiri,25,849139200,1996/11/28,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5.51,16,25,0,0,0,-1,-1,-1,22
Adama Diakhaby,25,836524800,1996/07/05,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,8,4,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0,0,0,0,0,0,2.61,34,46,551,0,0.16,332,359,-1,26
Alex Pritchard,28,736387200,1993/05/03,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,14,16,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,171,373,-1,5
Ben Hamer,34,564364800,1987/11/20,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,283,270,England,7,4,3,0,0,0,0,0,0,0,0,1,1,0,20,9,11,0,0,0,0,0,0,0,0,3.25,28,79,0,0,0,327,348,175,14
Chris Löwe,32,608688000,1989/04/16,Premier League,2018/2019,Defender,Huddersfield Town,2056,932,1124,Germany,29,15,14,0,0,0,2,1,1,0,0,1,1,0,52,19,33,2,0,0.09,0.09,0,0,0,0,2.28,40,71,1028,1028,0.09,328,163,169,30
Christopher Schindler,31,641347200,1990/04/29,Premier League,2018/2019,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0,0.03,0,0.06,3262,1.9,47,88,544,0,0.17,252,345,157,9
Collin Quaner,30,677203200,1991/06/18,Premier League,2018/2019,Forward,Huddersfield Town,37,9,28,Germany,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4.86,19,19,0,0,0,-1,-1,-1,15
Daniel Williams,32,605318400,1989/03/08,Premier League,2018/2019,Midfielder,Huddersfield Town,93,13,80,USA,5,1,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.97,93,19,93,0,0.97,-1,-1,-1,21
Demeaco Duhaney,23,908236800,1998/10/13,Premier League,2018/2019,Defender,Huddersfield Town,46,46,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,17
Elias Kachunga,29,703900800,1992/04/22,Premier League,2018/2019,Forward,Huddersfield Town,1181,611,570,Congo DR,20,9,11,0,0,0,0,0,0,0,0,2,1,1,28,14,14,2,0,0,0,0,0,0,0,2.13,42,59,591,0,0.15,303,259,-1,12
Erik Durm,29,705628800,1992/05/12,Premier League,2018/2019,Defender,Huddersfield Town,2052,869,1183,Germany,28,13,15,0,0,0,1,0,1,0,0,3,1,2,43,17,26,0,0,0.04,0.04,0,0,0,0,1.89,48,73,0,2052,0,305,232,156,13
Florent Hadergjonaj,27,775612800,1994/07/31,Premier League,2018/2019,Defender,Huddersfield Town,1840,1011,829,Switzerland,24,12,12,0,0,0,0,0,0,0,0,4,2,2,34,15,19,1,0,0,0,0,0,0,0,1.66,54,77,1840,0,0.05,329,376,135,29
Isaac Mbenza,25,826243200,1996/03/08,Premier League,2018/2019,Forward,Huddersfield Town,981,589,392,Belgium,22,13,9,1,1,0,1,1,0,0,0,4,2,2,25,15,10,1,0,0.18,0.09,0.09,0.15,0,981,2.29,39,45,981,981,0.09,172,165,-1,11
Jason Puncheon,35,520128000,1986/06/26,Premier League,2018/2019,Midfielder,Huddersfield Town,391,248,143,England,11,6,5,0,0,0,0,0,0,0,0,3,2,1,8,6,2,1,0,0,0,0,0,0,0,1.84,49,36,391,0,0.23,302,258,-1,19
Joel Coleman,26,812073600,1995/09/26,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,16
Jon Gorenc Stankovič,26,821577600,1996/01/14,Premier League,2018/2019,Defender,Huddersfield Town,718,218,500,Slovenia,11,3,8,1,0,1,0,0,0,0,0,2,1,1,19,3,16,2,0,0.13,0,0.13,0,0.18,718,2.38,38,65,359,0,0.25,139,291,171,8
