Adrien Sebastian Perruchet Silva,32,605923200,1989/03/15,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.02,88,44,0,0,0,-1,-1,-1,15
Ben Chilwell,25,851126400,1996/12/21,Premier League,2018/2019,Defender,Leicester City,3240,1620,1620,England,36,18,18,0,0,0,4,1,3,0,0,10,6,4,39,15,24,4,0,0.11,0.11,0,0,0,0,1.08,83,90,810,810,0.11,344,139,44,16
Caglar Söyüncü,25,832809600,1996/05/23,Premier League,2018/2019,Defender,Leicester City,371,191,180,Turkey,6,4,2,0,0,0,0,0,0,0,0,2,2,0,3,1,2,1,0,0,0,0,0,0,0,0.73,124,62,371,0,0.24,267,330,16,20
Christian Fuchs,35,513216000,1986/04/07,Premier League,2018/2019,Defender,Leicester City,206,90,116,Austria,3,1,2,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1.75,52,69,0,0,0,-1,-1,-1,17
Daniel Amartey,27,787968000,1994/12/21,Premier League,2018/2019,Midfielder,Leicester City,640,307,333,Ghana,9,5,4,0,0,0,0,0,0,0,0,2,1,1,9,4,5,2,0,0,0,0,0,0,0,1.27,71,71,320,0,0.28,343,313,-1,24
Danny Simpson,35,536716800,1987/01/04,Premier League,2018/2019,Defender,Leicester City,291,26,265,England,6,2,4,0,0,0,0,0,0,0,0,3,1,2,4,0,4,0,0,0,0,0,0,0,0,1.24,73,49,0,0,0,269,333,73,21
Danny Ward,28,740707200,1993/06/22,Premier League,2018/2019,Goalkeeper,Leicester City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Demarai Gray,25,835920000,1996/06/28,Premier League,2018/2019,Midfielder,Leicester City,1992,1069,923,England,34,17,17,4,1,3,1,1,0,0,0,8,5,3,26,10,16,2,0,0.23,0.05,0.18,0.08,0.29,498,1.17,77,59,996,1992,0.09,103,212,-1,3
Fousseni Diabaté,26,813974400,1995/10/18,Premier League,2018/2019,Midfielder,Leicester City,55,0,55,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.64,55,55,0,0,0,-1,-1,-1,22
Hamza Choudhury,24,875664000,1997/10/01,Premier League,2018/2019,Midfielder,Leicester City,596,308,288,England,9,4,5,0,0,0,0,0,0,0,0,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0.6,149,66,0,0,0,275,297,-1,23
Harry Maguire,28,731289600,1993/03/05,Premier League,2018/2019,Defender,Leicester City,2599,1350,1249,England,31,15,16,3,0,3,0,0,0,0,0,7,3,4,36,16,20,7,1,0.1,0,0.1,0,0.22,866,1.25,72,84,325,0,0.28,165,299,78,5
Harvey Lewis Barnes,24,881625600,1997/12/09,Premier League,2018/2019,Midfielder,Leicester City,1007,601,406,England,16,9,7,1,0,1,2,2,0,0,0,3,3,0,16,7,9,0,0,0.27,0.18,0.09,0,0.22,1007,1.43,63,63,0,504,0,175,78,-1,10
James Maddison,25,848707200,1996/11/23,Premier League,2018/2019,Midfielder,Leicester City,2850,1535,1315,England,36,18,18,7,3,4,7,4,3,1,1,8,5,3,39,18,21,5,1,0.44,0.22,0.22,0.18,0.27,407,1.23,73,79,570,407,0.16,83,60,-1,2
