Antonio Barreca,26,795484800,1995/03/18,Premier League,2018/2019,Defender,Newcastle United,4,0,4,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,16
Ayoze Perez,28,743904000,1993/07/29,Premier League,2018/2019,Forward,Newcastle United,2929,1526,1403,Spain,37,19,18,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,44,197,-1,1
Callum Roberts,24,860976000,1997/04/14,Premier League,2018/2019,Forward,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Atsu Twasam,30,695001600,1992/01/10,Premier League,2018/2019,Midfielder,Newcastle United,1487,710,777,Ghana,28,13,15,1,1,0,0,0,0,0,0,8,3,5,16,10,6,2,0,0.06,0,0.06,0.13,0,1487,0.97,93,53,744,0,0.12,206,271,-1,7
Ciaran Clark,32,622771200,1989/09/26,Premier League,2018/2019,Defender,Newcastle United,857,416,441,Republic of Ireland,11,6,5,3,1,2,0,0,0,0,0,2,0,2,14,9,5,1,0,0.32,0,0.32,0.22,0.41,286,1.47,61,78,857,0,0.11,56,315,113,4
DeAndre Yedlin,28,742176000,1993/07/09,Premier League,2018/2019,Defender,Newcastle United,2475,1313,1162,USA,29,16,13,1,0,1,2,1,1,0,0,6,4,2,37,19,18,7,1,0.11,0.07,0.04,0,0.08,2475,1.35,67,85,309,1238,0.29,237,177,93,13
Fabian Schär,30,693187200,1991/12/20,Premier League,2018/2019,Defender,Newcastle United,2002,1173,829,Switzerland,24,14,10,4,3,1,1,0,1,0,0,8,5,3,21,14,7,12,0,0.22,0.04,0.18,0.23,0.11,501,0.94,95,83,167,2002,0.54,110,230,23,3
Federico Fernández,32,604022400,1989/02/21,Premier League,2018/2019,Defender,Newcastle United,1484,607,877,Argentina,19,8,11,0,0,0,1,1,0,0,0,4,1,3,22,9,13,2,0,0.06,0.06,0,0,0,0,1.33,67,78,742,1484,0.12,297,194,90,15
Florian Lejeune,30,674697600,1991/05/20,Premier League,2018/2019,Defender,Newcastle United,1055,515,540,France,12,6,6,0,0,0,0,0,0,0,0,3,3,0,12,3,9,0,0,0,0,0,0,0,0,1.02,88,88,0,0,0,278,301,36,14
Freddie Woodman,24,857433600,1997/03/04,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Isaac Hayden,26,795830400,1995/03/22,Premier League,2018/2019,Midfielder,Newcastle United,1886,904,982,England,25,11,14,1,0,1,4,4,0,0,0,7,3,4,25,12,13,4,1,0.24,0.19,0.05,0,0.09,1886,1.19,75,75,377,472,0.24,219,67,-1,10
Jacob Murphy,26,793584000,1995/02/24,Premier League,2018/2019,Midfielder,Newcastle United,300,167,133,England,9,3,6,0,0,0,1,0,1,0,0,1,0,1,7,3,4,0,0,0.3,0.3,0,0,0,0,2.1,43,33,0,300,0,301,21,-1,17
Jamal Lascelles,28,752976000,1993/11/11,Premier League,2018/2019,Defender,Newcastle United,2748,1308,1440,England,32,16,16,0,0,0,1,1,0,0,0,11,5,6,33,16,17,4,0,0.03,0.03,0,0,0,0,1.08,83,86,687,2748,0.13,346,245,41,23
Jamie Sterry,26,816912000,1995/11/21,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
