Alex McCarthy,32,628646400,1989/12/03,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0,0,0,0,0,0,1.48,61,90,2250,0,0.04,372,365,114,21
Alfie Jones,24,876182400,1997/10/07,Premier League,2018/2019,Defender,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Angus Gunn,25,822268800,1996/01/22,Premier League,2018/2019,Goalkeeper,Southampton,1080,540,540,England,12,6,6,0,0,0,0,0,0,0,0,3,1,2,17,9,8,0,0,0,0,0,0,0,0,1.42,64,90,0,0,0,376,339,104,25
Callum Slattery,22,918432000,1999/02/08,Premier League,2018/2019,Midfielder,Southampton,110,6,104,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,-1,-1,-1,18
Cedric Soares,30,683596800,1991/08/31,Premier League,2018/2019,Defender,Southampton,1494,651,843,Portugal,18,8,10,1,1,0,2,0,2,0,0,5,2,3,26,7,19,4,0,0.18,0.12,0.06,0.14,0,1494,1.57,57,83,374,747,0.24,204,124,127,15
Charlie Austin,32,615600000,1989/07/05,Premier League,2018/2019,Forward,Southampton,980,454,526,England,25,13,12,2,1,1,2,1,1,0,1,6,3,3,14,6,8,1,0,0.37,0.18,0.18,0.2,0.17,490,1.29,70,39,980,490,0.09,105,73,-1,8
Daniel William John Ings,29,711849600,1992/07/23,Premier League,2018/2019,Forward,Southampton,1668,922,746,England,24,13,11,7,3,4,3,3,0,3,0,6,2,4,26,13,13,1,0,0.54,0.16,0.38,0.29,0.48,238,1.4,64,70,1668,556,0.05,39,87,-1,2
Fraser Forster,33,574560000,1988/03/17,Premier League,2018/2019,Goalkeeper,Southampton,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,29
Jack Stephens,27,759628800,1994/01/27,Premier League,2018/2019,Defender,Southampton,1697,816,881,England,24,10,14,1,1,0,0,0,0,0,0,5,2,3,30,11,19,4,0,0.05,0,0.05,0.11,0,1697,1.59,57,71,424,0,0.21,223,369,130,14
James Ward-Prowse,27,783648000,1994/11/01,Premier League,2018/2019,Midfielder,Southampton,1942,942,1000,England,26,13,13,7,5,2,0,0,0,1,0,4,2,2,36,15,21,4,0,0.32,0,0.32,0.48,0.18,277,1.67,54,75,486,0,0.19,58,347,-1,1
Jan Bednarek,25,829267200,1996/04/12,Premier League,2018/2019,Defender,Southampton,2151,1126,1025,Poland,25,13,12,0,0,0,1,0,1,0,0,3,1,2,33,19,14,7,0,0.04,0.04,0,0,0,0,1.38,65,86,307,2151,0.29,377,225,98,24
Jannik Vestergaard,29,712800000,1992/08/03,Premier League,2018/2019,Defender,Southampton,2030,1130,900,Denmark,23,13,10,0,0,0,0,0,0,0,0,4,2,2,27,14,13,2,0,0,0,0,0,0,0,1.2,75,88,1015,0,0.09,373,367,65,28
