Alfie Whiteman,23,907286400,1998/10/02,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Davies,28,735609600,1993/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,916,923,Wales,27,13,14,0,0,0,0,0,0,0,0,10,6,4,24,10,14,2,0,0,0,0,0,0,0,1.17,77,68,920,0,0.1,353,274,60,26
Christian Eriksen,29,698025600,1992/02/14,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,1457,1315,Denmark,35,18,17,8,6,2,12,8,4,0,0,10,6,4,34,14,20,3,0,0.65,0.39,0.26,0.37,0.14,347,1.1,82,79,924,231,0.1,76,10,-1,4
Danny Rose,31,646876800,1990/07/02,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,969,837,England,26,13,13,0,0,0,3,1,2,0,0,10,7,3,12,6,6,5,0,0.15,0.15,0,0,0,0,0.6,151,69,361,602,0.25,287,95,11,17
Davinson Sánchez Mina,25,834537600,1996/06/12,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,873,1070,Colombia,23,10,13,1,1,0,1,0,1,0,0,6,3,3,21,9,12,2,0,0.09,0.05,0.05,0.1,0,1943,0.97,93,84,972,1943,0.09,221,208,26,13
Dele Alli,25,829180800,1996/04/11,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,755,1072,England,25,11,14,5,1,4,3,2,1,0,0,7,3,4,17,4,13,4,0,0.39,0.15,0.25,0.12,0.34,365,0.84,107,73,457,609,0.2,82,97,-1,5
Eric Dier,27,758592000,1994/01/15,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,674,836,England,20,9,11,3,2,1,0,0,0,0,0,6,2,4,16,8,8,4,0,0.18,0,0.18,0.27,0.11,503,0.95,94,76,378,0,0.24,107,278,-1,7
Erik Lamela,29,699667200,1992/03/04,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,493,478,Argentina,19,11,8,4,1,3,2,1,1,0,0,5,3,2,11,5,6,2,0,0.56,0.19,0.37,0.18,0.56,243,1.02,88,51,486,486,0.19,45,69,-1,6
Fernando Llorente Torres,36,478224000,1985/02/26,Premier League,2018/2019,Forward,Tottenham Hotspur,683,508,175,Spain,20,11,9,1,1,0,4,4,0,0,0,7,5,2,8,5,3,2,0,0.66,0.53,0.13,0.18,0,683,1.05,85,34,342,171,0.26,133,2,-1,8
George Marsh,23,910224000,1998/11/05,Premier League,2018/2019,Midfielder,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Georges-Kevin N'Koudou Mbida,26,792633600,1995/02/13,Premier League,2018/2019,Forward,Tottenham Hotspur,4,0,4,France,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0,0,0,0,0,0,4,0,4,0,-1,-1,-1,18
Harry Kane,28,743817600,1993/07/28,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,16,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,5,94,-1,1
Harry Winks,25,823219200,1996/02/02,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1591,832,759,England,26,13,13,1,0,1,0,0,0,0,0,10,4,6,16,8,8,4,0,0.06,0,0.06,0,0.12,1591,0.91,99,61,398,0,0.23,207,335,-1,9
Heung-Min Son,29,710553600,1992/07/08,Premier League,2018/2019,Forward,Tottenham Hotspur,2048,1161,887,South Korea,31,16,15,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,34,-1,2
Hugo Lloris,35,535939200,1986/12/26,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,2970,1620,1350,France,33,18,15,0,0,0,0,0,0,0,0,12,7,5,30,13,17,0,0,0,0,0,0,0,0,0.91,99,90,0,0,0,339,284,21,19
Jan Vertonghen,34,546220800,1987/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,884,1031,Belgium,22,10,12,1,0,1,0,0,0,0,0,7,4,3,21,7,14,5,1,0.05,0,0.05,0,0.09,1915,0.99,91,87,383,0,0.23,225,282,31,10
Juan Marcos Foyth,24,884563200,1998/01/12,Premier League,2018/2019,Defender,Tottenham Hotspur,930,450,480,Argentina,12,6,6,1,0,1,0,0,0,0,0,4,3,1,10,2,8,4,1,0.1,0,0.1,0,0.19,930,0.97,93,78,186,0,0.48,157,334,28,14
Kazaiah Sterling,23,910569600,1998/11/09,Premier League,2018/2019,Forward,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kieran Trippier,31,653702400,1990/09/19,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,England,27,14,13,1,1,0,3,0,3,0,0,10,5,5,20,10,10,2,0,0.16,0.12,0.04,0.08,0,2278,0.79,114,84,1139,759,0.08,230,122,19,12
Kyle Walker-Peters,24,860889600,1997/04/13,Premier League,2018/2019,Defender,Tottenham Hotspur,374,272,102,England,6,4,2,0,0,0,3,3,0,0,0,3,2,1,4,2,2,1,0,0.72,0.72,0,0,0,0,0.96,94,62,374,125,0.24,357,1,25,21
Lucas Rodrigues Moura da Silva,29,713664000,1992/08/13,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,Brazil,32,15,17,10,6,4,0,0,0,0,0,12,7,5,16,9,7,3,0,0.42,0,0.42,0.52,0.33,213,0.68,133,66,709,0,0.13,30,279,-1,3
