Abdoulaye Doucouré,29,725846400,1993/01/01,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,18,17,5,3,2,6,2,4,0,0,5,3,2,54,27,27,7,0,0.32,0.18,0.15,0.17,0.12,612,1.59,57,87,437,510,0.21,124,80,-1,5
Adalberto Peñaranda Maestre,24,865036800,1997/05/31,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Masina,28,757468800,1994/01/02,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,7,7,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0,0,0,0,1.7,53,72,201,1003,0.45,397,155,144,20
Adrian Mariappa,35,528681600,1986/10/03,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,12,14,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0,0,0,0,0,0,1.36,66,74,640,0,0.14,396,414,94,21
Andre Gray,30,677894400,1991/06/26,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
Ben Foster,38,418176000,1983/04/03,Premier League,2018/2019,Goalkeeper,Watford,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0,0,0,0,0,0,1.5,60,90,3420,0,0.03,365,353,116,18
Ben Wilmot,22,941673600,1999/11/04,Premier League,2018/2019,Defender,Watford,26,0,26,England,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,6.92,13,13,0,0,0,-1,-1,-1,17
Christian Kabasele,30,667353600,1991/02/24,Premier League,2018/2019,Defender,Watford,1587,957,630,Belgium,21,14,7,0,0,0,0,0,0,0,0,4,3,1,25,15,10,4,1,0,0,0,0,0,0,1.42,63,76,397,0,0.23,393,402,101,24
Craig Cathcart,32,602726400,1989/02/06,Premier League,2018/2019,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,18,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,177,400,119,6
Daryl Janmaat,32,617068800,1989/07/22,Premier League,2018/2019,Defender,Watford,1521,836,685,Netherlands,18,10,8,0,0,0,2,2,0,0,0,3,2,1,22,8,14,3,0,0.12,0.12,0,0,0,0,1.3,69,85,507,761,0.18,395,121,84,23
Domingos Quina,22,942883200,1999/11/18,Premier League,2018/2019,Midfielder,Watford,335,217,118,Portugal,8,5,3,1,1,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0.27,0,0.27,0.41,0,335,1.34,67,42,0,0,0,72,316,-1,13
Etienne Capoue,33,584582400,1988/07/11,Premier League,2018/2019,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0,0.06,2947,1.44,63,89,184,982,0.49,253,153,-1,9
Francisco Femenía Far,30,665452800,1991/02/02,Premier League,2018/2019,Midfielder,Watford,2045,1011,1034,Spain,29,14,15,1,1,0,1,1,0,0,0,5,3,2,38,21,17,1,0,0.09,0.04,0.04,0.09,0,2045,1.67,54,71,2045,2045,0.04,240,216,-1,12
Gerard Deulofeu,27,763516800,1994/03/13,Premier League,2018/2019,Forward,Watford,2082,949,1133,Spain,30,14,16,10,3,7,5,3,2,0,0,6,3,3,28,11,17,3,0,0.65,0.22,0.43,0.28,0.56,208,1.21,74,69,694,416,0.13,29,59,-1,1
Heurelho da Silva Gomes,40,351043200,1981/02/15,Premier League,2018/2019,Goalkeeper,Watford,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Isaac Ajayi Success,26,820972800,1996/01/07,Premier League,2018/2019,Forward,Watford,1037,461,576,Nigeria,30,15,15,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0,1037,1.74,52,35,259,1037,0.35,181,154,-1,10
