Aaron Cresswell,32,629683200,1989/12/15,Premier League,2018/2019,Defender,West Ham United,1589,888,701,England,20,11,9,0,0,0,1,1,0,0,0,3,2,1,22,12,10,1,0,0.06,0.06,0,0,0,0,1.25,72,79,1589,1589,0.06,290,191,80,20
Adrián San Miguel del Castillo,35,536630400,1987/01/03,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexandre Nascimento Costa Silva,24,858470400,1997/03/16,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,16
Andriy Yarmolenko,32,625104000,1989/10/23,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,361,-1,7
Andy Carroll,33,600048000,1989/01/06,Premier League,2018/2019,Forward,West Ham United,454,180,274,England,12,6,6,0,0,0,0,0,0,0,0,2,1,1,6,2,4,2,0,0,0,0,0,0,0,1.19,76,38,227,0,0.4,270,326,-1,17
Angelo Ogbonna,33,580348800,1988/05/23,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,12,12,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,226,207,124,13
Arthur Masuaku,28,752630400,1993/11/07,Premier League,2018/2019,Defender,West Ham United,1756,822,934,France,23,11,12,0,0,0,1,1,0,0,0,6,3,3,26,11,15,2,0,0.05,0.05,0,0,0,0,1.33,68,76,878,1756,0.1,368,203,89,25
Benjamin Johnson,21,948672000,2000/01/24,Premier League,2018/2019,Forward,West Ham United,63,0,63,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,26
Carlos Sánchez,35,508032000,1986/02/06,Premier League,2018/2019,Midfielder,West Ham United,240,120,120,Colombia,7,4,3,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.75,120,34,0,0,0,-1,-1,-1,21
Conor Coventry,21,953942400,2000/03/25,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Declan Rice,23,916272000,1999/01/14,Premier League,2018/2019,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0,0,0,6,3,3,42,21,21,4,0,0.06,0,0.06,0.13,0,1503,1.26,72,88,751,0,0.12,210,362,-1,9
Fabián Cornelio Balbuena González,30,682905600,1991/08/23,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0,0.04,0,0.08,2014,1.21,75,88,1007,0,0.09,231,356,66,10
Felipe Anderson Pereira Gomes,28,734832000,1993/04/15,Premier League,2018/2019,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2,0,0,6,3,3,43,21,22,3,0,0.38,0.12,0.27,0.25,0.28,339,1.27,71,85,1018,764,0.09,70,130,-1,2
Grady Diangana,23,892944000,1998/04/19,Premier League,2018/2019,Midfielder,West Ham United,604,326,278,England,17,9,8,0,0,0,1,1,0,0,0,2,1,1,11,8,3,0,0,0.15,0.15,0,0,0,0,1.64,55,36,0,604,0,298,89,-1,18
Issa Diop,25,852768000,1997/01/09,Premier League,2018/2019,Defender,West Ham United,2970,1530,1440,France,33,17,16,1,1,0,0,0,0,0,0,7,4,3,38,20,18,4,0,0.03,0,0.03,0.06,0,2970,1.15,78,90,743,0,0.12,248,364,55,14
