Adama Traoré Diarra,25,822528000,1996/01/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,12,17,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0,0.16,890,1.11,81,31,890,890,0.1,160,152,-1,13
Bright Enobakhare,23,886896000,1998/02/08,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cameron John,22,935452800,1999/08/24,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Conor Coady,28,730598400,1993/02/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,9,7,2,43,20,23,5,0,0,0,0,0,0,0,1.13,80,90,684,0,0.13,394,415,-1,18
Diogo José Teixeira da Silva,25,849657600,1996/12/04,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,1210,1161,Portugal,33,16,17,9,7,2,5,3,2,0,0,9,7,2,29,11,18,11,0,0.53,0.19,0.34,0.52,0.16,263,1.1,82,72,216,474,0.42,52,71,-1,2
Hélder Wander Sousa Azevedo Costa,28,758332800,1994/01/12,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1345,657,688,Portugal,25,11,14,1,0,1,2,1,1,0,0,5,3,2,18,10,8,3,0,0.2,0.13,0.07,0,0.13,1345,1.2,75,54,448,673,0.2,200,113,-1,9
Ivan Ricardo Neves Abreu Cavaleiro,28,750902400,1993/10/18,Premier League,2018/2019,Forward,Wolverhampton Wanderers,683,331,352,Portugal,23,13,10,3,2,1,1,0,1,0,0,5,4,1,10,7,3,1,0,0.53,0.13,0.4,0.54,0.26,228,1.32,68,30,683,683,0.13,34,119,-1,6
João Moutinho,35,526521600,1986/09/08,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,1532,1508,Portugal,38,19,19,1,0,1,8,5,3,0,0,9,7,2,37,17,20,4,0,0.27,0.24,0.03,0,0.06,3040,1.1,82,80,760,380,0.12,258,44,-1,11
John Ruddy,35,530496000,1986/10/24,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,17
Jonny,27,762652800,1994/03/03,Premier League,2018/2019,Defender,Wolverhampton Wanderers,2780,1269,1511,Spain,33,16,17,1,1,0,1,1,0,0,0,8,6,2,36,16,20,6,0,0.06,0.03,0.03,0.07,0,2780,1.17,77,84,463,2780,0.19,257,237,59,12
Kortney Hause,26,805852800,1995/07/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Leander Dendoncker,26,797904000,1995/04/15,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,635,834,Belgium,19,9,10,2,1,1,0,0,0,0,0,4,4,0,19,6,13,1,0,0.12,0,0.12,0.14,0.11,735,1.16,77,77,1469,0,0.06,146,331,-1,8
Leonardo Bonatini Lohner Maia,27,764812800,1994/03/28,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,61,67,Brazil,7,4,3,0,0,0,1,0,1,0,0,3,2,1,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,18,0,128,0,-1,-1,-1,14
Matt Doherty,29,695520000,1992/01/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,19,19,4,1,3,5,4,1,0,0,9,7,2,38,18,20,5,0,0.26,0.14,0.11,0.06,0.17,787,1.09,83,83,629,629,0.14,155,100,46,5
Max Kilman,24,864345600,1997/05/23,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Morgan Gibbs-White,21,948931200,2000/01/27,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,England,26,13,13,0,0,0,1,1,0,0,0,5,5,0,9,5,4,1,0,0.14,0.14,0,0,0,0,1.25,72,25,647,647,0.14,408,107,-1,16
Raúl Alonso Jiménez Rodríguez,30,673401600,1991/05/05,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,Mexico,38,19,19,13,8,5,7,4,3,2,0,9,7,2,39,20,19,4,0,0.58,0.2,0.37,0.44,0.3,240,1.12,80,82,781,446,0.12,42,63,-1,1
Romain Saïss,31,638409600,1990/03/26,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,Morocco,19,8,11,2,1,1,0,0,0,0,0,4,3,1,16,6,10,7,0,0.16,0,0.16,0.17,0.15,572,1.26,72,60,163,0,0.55,115,264,-1,7
Rúben Diogo Da Silva Neves,24,858211200,1997/03/13,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,Portugal,35,17,18,4,3,1,3,2,1,2,0,8,6,2,40,19,21,8,0,0.21,0.09,0.12,0.19,0.06,752,1.2,75,86,376,1003,0.24,145,162,-1,3
Rúben Gonçalo Silva Nascimento Vinagre,22,923616000,1999/04/09,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,Portugal,17,12,5,0,0,0,0,0,0,0,0,5,4,1,9,6,3,1,0,0,0,0,0,0,0,1.15,78,41,703,0,0.13,406,323,54,15
Rui Pedro dos Santos Patrício,33,571881600,1988/02/15,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,1620,1710,Portugal,37,18,19,0,0,0,0,0,0,0,0,8,6,2,43,20,23,0,0,0,0,0,0,0,0,1.16,77,90,0,0,0,405,328,56,19
Ryan Bennett,31,636681600,1990/03/06,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,1710,1350,England,34,19,15,1,1,0,0,0,0,0,0,9,7,2,36,20,16,12,0,0.03,0,0.03,0.05,0,3060,1.06,85,90,255,0,0.35,256,304,40,10
Ryan Giles,21,948844800,2000/01/26,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Will Norris,28,745113600,1993/08/12,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Willy Boly,30,665539200,1991/02/03,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0,0,0,8,6,2,38,17,21,3,1,0.11,0,0.11,0.12,0.11,792,1.08,83,88,792,0,0.11,148,312,43,4
