CCAA,PROVINCIA
ANDALUCÍA,SEVILLA
ANDALUCÍA,GRANADA
ANDALUCÍA,ALMERÍA
ANDALUCÍA,MÁLAGA
ANDALUCÍA,HUELVA
ANDALUCÍA,JAÉN
ANDALUCÍA,CÁDIZ
ANDALUCÍA,CÓRDOBA
ARAGÓN,HUESCA
ARAGÓN,ZARAGOZA
ARAGÓN,TERUEL
ASTURIAS PRINCIPADO DE,ASTURIAS
BALEARS ILLES,BALEARS ILLES
CANARIAS,SANTA CRUZ DE TENERIFE
CANARIAS,PALMAS LAS
CANTABRIA,CANTABRIA
CASTILLA - LA MANCHA,ALBACETE
CASTILLA - LA MANCHA,GUADALAJARA
CASTILLA - LA MANCHA,CIUDAD REAL
CASTILLA - LA MANCHA,TOLEDO
CASTILLA - LA MANCHA,CUENCA
CASTILLA Y LEÓN,ÁVILA
CASTILLA Y LEÓN,BURGOS
CASTILLA Y LEÓN,PALENCIA
CASTILLA Y LEÓN,SALAMANCA
CASTILLA Y LEÓN,LEÓN
CASTILLA Y LEÓN,SEGOVIA
CASTILLA Y LEÓN,SORIA
CASTILLA Y LEÓN,VALLADOLID
CASTILLA Y LEÓN,ZAMORA
CATALUNYA,BARCELONA
CATALUNYA,LLEIDA
CATALUNYA,GIRONA
CATALUNYA,TARRAGONA
CEUTA,CEUTA
COMUNITAT VALENCIANA,ALICANTE
COMUNITAT VALENCIANA,CASTELLÓN
COMUNITAT VALENCIANA,VALENCIA
EXTREMADURA,BADAJOZ
EXTREMADURA,CÁCERES
GALICIA,OURENSE
GALICIA,LUGO
GALICIA,PONTEVEDRA
GALICIA,CORUÑA A
MADRID COMUNIDAD DE,MADRID
MELILLA,MELILLA
MURCIA REGIÓN DE,MURCIA
NAVARRA COMUNIDAD FORAL DE,NAVARRA
PAÍS VASCO,GIPUZKOA
PAÍS VASCO,BIZKAIA
PAÍS VASCO,ÁLAVA
RIOJA LA,RIOJA LA
